nct_id
NCT00059332
NCT00091949
NCT00211887
NCT00235495
NCT00235716
NCT00331890
NCT00340834
NCT00349622
NCT00355134
NCT00420212
NCT00449865
NCT00451451
NCT00457730
NCT00459420
NCT00530348
NCT00545662
NCT00548405
NCT00574132
NCT00575055
NCT00594568
NCT00605215
NCT00608881
NCT00664209
NCT00665223
NCT00666887
NCT00667810
NCT00676143
NCT00704379
NCT00706147
NCT00712426
NCT00724048
NCT00762411
NCT00818662
NCT00822900
NCT00829374
NCT00860366
NCT00868166
NCT00893867
NCT00904683
NCT00905372
NCT00906399
NCT00920946
NCT00943748
NCT00947895
NCT00974974
NCT01007864
NCT01047254
NCT01064401
NCT01093261
NCT01143064
NCT01155466
NCT01155479
NCT01188811
NCT01194570
NCT01224106
NCT01227265
NCT01227655
NCT01247324
NCT01252355
NCT01281189
NCT01283594
NCT01390220
NCT01397422
NCT01405508
NCT01409694
NCT01412333
NCT01416181
NCT01432704
NCT01433497
NCT01462812
NCT01561053
NCT01568073
NCT01604785
NCT01639014
NCT01661322
NCT01665144
NCT01667484
NCT01689233
NCT01689246
NCT01695460
NCT01713946
NCT01738178
NCT01739348
NCT01741194
NCT01741701
NCT01767909
NCT01795859
NCT01800097
NCT01828437
NCT01862640
NCT01872598
NCT01922258
NCT01939314
NCT01953601
NCT01955161
NCT01963208
NCT01968460
NCT01973205
NCT01994720
NCT02006641
NCT02006654
NCT02017340
NCT02080364
NCT02091375
NCT02099383
NCT02153645
NCT02168842
NCT02220244
NCT02220933
NCT02224560
NCT02224690
NCT02224703
NCT02240030
NCT02245737
NCT02271217
NCT02313909
NCT02322333
NCT02332447
NCT02351882
NCT02352363
NCT02397473
NCT02425644
NCT02438826
NCT02439320
NCT02442778
NCT02456740
NCT02477800
NCT02483585
NCT02484547
NCT02496767
NCT02547818
NCT02559895
NCT02569853
NCT02585934
NCT02588677
NCT02593097
NCT02605434
NCT02614183
NCT02614196
NCT02614261
NCT02621931
NCT02629861
NCT02638103
NCT02642393
NCT02670083
NCT02683213
NCT02745392
NCT02750306
NCT02779959
NCT02792218
NCT02792231
NCT02793687
NCT02794168
NCT02828020
NCT02848326
NCT02867709
NCT02907177
NCT02926898
NCT02930018
NCT02945046
NCT02956486
NCT02964338
NCT03006276
NCT03009019
NCT03031184
NCT03068754
NCT03143751
NCT03185143
NCT03197740
NCT03235479
NCT03237845
NCT03277248
NCT03277261
NCT03280056
NCT03461757
NCT03505021
NCT03541668
NCT03739840
NCT03872453
NCT03896009
NCT04163185
